Date,Open,High,Low,Close,Adj Close,Volume
2022-10-19,3159.000000,3159.000000,3112.000000,3121.850098,3029.401367,1194289
2022-10-20,3105.000000,3160.000000,3105.000000,3157.300049,3063.801270,1587601
2022-10-21,3157.800049,3160.399902,3127.000000,3137.399902,3044.490723,1021913
2022-10-24,3170.100098,3178.000000,3155.000000,3161.699951,3068.071045,260949
2022-10-25,3180.500000,3184.250000,3151.149902,3162.100098,3068.459229,2069643
2022-10-27,3160.699951,3174.000000,3134.350098,3157.399902,3063.898193,2438421
2022-10-28,3150.000000,3178.500000,3145.000000,3163.250000,3069.574951,1355739
2022-10-31,3199.000000,3199.000000,3177.800049,3193.149902,3098.589355,1919414
2022-11-01,3214.500000,3262.600098,3203.449951,3259.699951,3163.168701,2991060
2022-11-02,3270.000000,3270.000000,3222.050049,3241.699951,3145.701904,1405955
2022-11-03,3228.050049,3228.050049,3195.000000,3206.750000,3111.786865,1422652
2022-11-04,3217.000000,3220.050049,3166.149902,3217.399902,3122.121338,1464013
2022-11-07,3229.000000,3242.800049,3195.100098,3233.699951,3137.938721,1474498
2022-11-09,3249.800049,3249.800049,3201.649902,3216.050049,3120.811523,1162267
2022-11-10,3170.000000,3225.000000,3170.000000,3205.649902,3110.719238,1573092
2022-11-11,3269.600098,3341.600098,3255.050049,3315.949951,3217.753174,3265394
2022-11-14,3324.000000,3349.000000,3309.000000,3335.500000,3236.724121,1342074
2022-11-15,3321.000000,3339.949951,3292.000000,3332.600098,3233.910156,1400708
2022-11-16,3338.899902,3367.899902,3321.449951,3355.350098,3255.986328,1748235
2022-11-17,3340.000000,3360.000000,3317.750000,3349.000000,3249.824463,1417986
2022-11-18,3350.000000,3362.750000,3321.000000,3343.449951,3244.438721,1164540
2022-11-21,3322.500000,3333.699951,3273.000000,3283.500000,3186.264160,1304194
2022-11-22,3280.000000,3318.949951,3255.250000,3314.949951,3216.782715,1149739
2022-11-23,3330.000000,3330.000000,3291.000000,3308.300049,3210.329834,1150011
2022-11-24,3316.250000,3392.949951,3308.300049,3380.149902,3280.052002,1296591
2022-11-25,3383.000000,3403.350098,3348.000000,3389.649902,3289.270508,1588981
2022-11-28,3366.000000,3417.000000,3365.550049,3395.250000,3294.704590,2195437
2022-11-29,3383.000000,3429.000000,3383.000000,3397.350098,3296.742676,1576028
2022-11-30,3383.000000,3414.899902,3375.000000,3390.800049,3290.386475,3410702
2022-12-01,3425.000000,3480.000000,3420.000000,3475.649902,3372.723633,2180856
2022-12-02,3458.100098,3468.899902,3413.000000,3439.149902,3337.304443,2411749
2022-12-05,3433.000000,3439.149902,3407.000000,3425.899902,3324.447021,1475065
2022-12-06,3400.050049,3407.949951,3368.000000,3385.350098,3285.098145,1166999
2022-12-07,3368.300049,3393.699951,3354.000000,3380.600098,3280.488770,1167505
2022-12-08,3360.000000,3380.600098,3339.449951,3350.550049,3251.328369,1285619
2022-12-09,3374.100098,3374.100098,3276.350098,3292.750000,3195.240234,1797896
2022-12-12,3255.500000,3296.000000,3236.100098,3286.449951,3189.126709,1527610
2022-12-13,3277.199951,3336.449951,3267.800049,3332.100098,3233.424805,1378016
2022-12-14,3348.800049,3377.000000,3340.899902,3365.350098,3265.690186,1213311
2022-12-15,3358.800049,3364.750000,3298.949951,3305.100098,3207.224365,1415694
2022-12-16,3275.000000,3292.000000,3225.199951,3240.250000,3144.294922,2703680
2022-12-19,3227.000000,3245.500000,3194.500000,3202.050049,3107.226074,2120965
2022-12-20,3198.899902,3249.000000,3163.649902,3243.949951,3147.885254,1529971
2022-12-21,3249.000000,3283.050049,3240.000000,3268.550049,3171.756592,1432566
2022-12-22,3294.000000,3294.000000,3245.100098,3259.699951,3163.168701,1384101
2022-12-23,3217.000000,3266.850098,3217.000000,3228.350098,3132.747559,1360281
2022-12-26,3228.350098,3272.000000,3225.050049,3252.899902,3156.570068,870157
2022-12-27,3269.199951,3273.800049,3231.500000,3259.500000,3162.974854,835883
2022-12-28,3249.800049,3266.100098,3226.000000,3257.100098,3160.645996,910795
2022-12-29,3231.100098,3271.500000,3228.000000,3268.750000,3171.950684,1037927
2022-12-30,3286.050049,3299.000000,3246.199951,3256.699951,3160.257568,1163131
2023-01-02,3261.000000,3266.850098,3235.199951,3261.449951,3164.867188,709547
2023-01-03,3252.000000,3320.000000,3245.300049,3311.350098,3213.289551,1245178
2023-01-04,3306.699951,3327.350098,3286.199951,3314.649902,3216.491455,1231668
2023-01-05,3330.199951,3337.300049,3281.949951,3311.100098,3213.046631,1826057
2023-01-06,3300.000000,3301.550049,3200.000000,3211.550049,3116.444580,2488376
2023-01-09,3229.000000,3327.000000,3221.149902,3319.949951,3221.634521,2885060
2023-01-10,3285.000000,3298.000000,3230.100098,3286.399902,3189.078125,3864655
2023-01-11,3290.100098,3349.500000,3271.149902,3328.699951,3230.125244,2720512
2023-01-12,3329.000000,3350.000000,3315.550049,3334.350098,3235.608154,2250391
2023-01-13,3342.899902,3379.000000,3305.000000,3374.550049,3274.617920,1742837
2023-01-16,3317.000000,3353.000000,3298.050049,3334.050049,3300.854004,1843607
2023-01-17,3330.000000,3381.800049,3321.000000,3378.399902,3344.761963,1688475
2023-01-18,3380.000000,3408.949951,3372.250000,3390.000000,3356.246826,2421189
2023-01-19,3380.000000,3387.000000,3361.000000,3373.100098,3339.515137,1585044
2023-01-20,3365.000000,3394.649902,3355.600098,3363.100098,3329.614746,1529349
2023-01-23,3388.000000,3419.000000,3355.600098,3414.899902,3380.898926,1067916
2023-01-24,3425.000000,3451.949951,3417.300049,3436.300049,3402.085693,1387863
2023-01-25,3425.300049,3435.000000,3405.000000,3429.750000,3395.601074,874110
2023-01-27,3426.000000,3446.000000,3382.300049,3411.050049,3377.087402,1785879
2023-01-30,3420.000000,3458.449951,3385.550049,3433.649902,3399.461914,1953798
2023-01-31,3449.000000,3449.000000,3351.000000,3358.699951,3325.258545,2820375
2023-02-01,3363.000000,3419.000000,3355.000000,3408.350098,3374.414063,2205161
2023-02-02,3427.000000,3469.000000,3420.100098,3460.399902,3425.945557,1813847
2023-02-03,3504.000000,3504.000000,3452.899902,3482.300049,3447.627930,1804469
2023-02-06,3473.149902,3473.149902,3436.850098,3459.949951,3425.500244,1138714
2023-02-07,3468.899902,3493.000000,3461.399902,3472.550049,3437.974854,1455647
2023-02-08,3478.050049,3539.899902,3478.050049,3520.100098,3485.051514,1986946
2023-02-09,3515.000000,3547.600098,3505.300049,3540.850098,3505.594971,1655427
2023-02-10,3520.000000,3542.350098,3508.149902,3537.550049,3502.327881,1187821
2023-02-13,3549.000000,3549.000000,3473.399902,3482.399902,3447.726807,1087939
2023-02-14,3505.000000,3524.850098,3495.000000,3500.100098,3465.250732,1579818
2023-02-15,3487.000000,3526.000000,3460.149902,3520.649902,3485.595703,1429449
2023-02-16,3527.199951,3575.000000,3527.000000,3558.050049,3522.623535,1618931
2023-02-17,3526.149902,3538.899902,3490.000000,3501.149902,3466.289795,1061369
2023-02-20,3502.000000,3522.000000,3475.050049,3487.300049,3452.578125,1296082
2023-02-21,3494.000000,3508.899902,3444.750000,3451.000000,3416.639404,1139541
2023-02-22,3414.949951,3447.000000,3395.000000,3401.550049,3367.681885,1218430
2023-02-23,3421.000000,3452.399902,3408.000000,3413.800049,3379.809814,1441570
2023-02-24,3422.500000,3433.949951,3382.300049,3400.449951,3366.592529,977592
2023-02-27,3390.000000,3390.000000,3316.000000,3331.850098,3298.675781,1128022
2023-02-28,3328.500000,3392.000000,3299.899902,3312.850098,3279.864990,4116217
2023-03-01,3323.000000,3389.000000,3315.000000,3385.699951,3351.989502,1669307
2023-03-02,3361.000000,3369.899902,3318.000000,3321.449951,3288.379150,1556538
2023-03-03,3354.000000,3358.000000,3331.100098,3342.149902,3308.873291,1043190
2023-03-06,3361.899902,3404.949951,3359.000000,3371.850098,3338.277588,1334132
2023-03-08,3364.000000,3396.000000,3330.850098,3390.399902,3356.642822,1844590
2023-03-09,3385.000000,3385.000000,3330.850098,3336.850098,3303.626221,1648500
2023-03-10,3312.899902,3337.250000,3290.000000,3331.000000,3297.834229,1024404
2023-03-13,3333.000000,3369.800049,3272.000000,3281.949951,3249.272461,1901233
2023-03-14,3280.000000,3304.399902,3209.399902,3214.949951,3182.939697,2670334
2023-03-15,3250.000000,3260.350098,3192.000000,3198.899902,3167.049316,1780522
2023-03-16,3208.000000,3219.800049,3172.000000,3185.000000,3153.287842,1901060
2023-03-17,3150.500000,3221.399902,3144.000000,3179.300049,3147.644775,6739966
2023-03-20,3169.649902,3169.649902,3095.050049,3143.300049,3112.003174,2289468
2023-03-21,3143.300049,3156.750000,3097.449951,3106.100098,3075.173584,1815297
2023-03-22,3130.050049,3143.500000,3106.100098,3130.800049,3099.627686,1123939
2023-03-23,3114.899902,3146.350098,3101.000000,3124.649902,3093.538574,1372218
2023-03-24,3148.899902,3170.000000,3106.000000,3120.500000,3089.429932,1329577
2023-03-27,3135.000000,3152.750000,3106.000000,3122.300049,3091.212158,1524217
2023-03-28,3127.000000,3149.550049,3110.149902,3115.899902,3084.875732,1303530
2023-03-29,3129.000000,3150.000000,3104.100098,3138.899902,3107.646973,1740616
2023-03-31,3189.949951,3213.000000,3152.000000,3205.899902,3173.979736,2382581
2023-04-03,3224.949951,3224.949951,3173.750000,3200.000000,3168.138672,1521830
2023-04-05,3185.500000,3264.350098,3185.500000,3239.800049,3207.542236,2655065
2023-04-06,3225.000000,3257.350098,3215.000000,3220.699951,3188.632568,1703464
2023-04-10,3220.000000,3272.000000,3215.000000,3263.399902,3230.907227,2203187
2023-04-11,3264.000000,3272.949951,3192.149902,3213.800049,3181.801270,2348779
2023-04-12,3227.949951,3260.949951,3199.000000,3241.649902,3209.373779,2417727
2023-04-13,3210.000000,3230.000000,3180.000000,3188.850098,3157.099609,4174070
2023-04-17,3134.100098,3163.399902,3070.250000,3139.500000,3108.240723,5505048
2023-04-18,3154.949951,3156.850098,3110.600098,3130.750000,3099.577881,2617302
2023-04-19,3130.750000,3140.000000,3071.500000,3089.600098,3058.837891,3298034
2023-04-20,3090.000000,3113.000000,3078.000000,3104.800049,3073.886475,2419999
2023-04-21,3110.000000,3164.449951,3100.800049,3160.850098,3129.378662,1929184
2023-04-24,3151.100098,3180.949951,3126.149902,3174.800049,3143.189453,1640676
2023-04-25,3183.000000,3191.199951,3147.500000,3176.000000,3144.377686,2024090
2023-04-26,3181.000000,3208.399902,3181.000000,3198.149902,3166.306885,2000029
2023-04-27,3185.000000,3199.199951,3170.649902,3187.949951,3156.208496,2434446
2023-04-28,3200.399902,3227.250000,3196.250000,3219.250000,3187.196777,2931312
2023-05-02,3235.000000,3235.000000,3210.000000,3219.399902,3187.345459,2321159
2023-05-03,3216.000000,3216.000000,3173.149902,3179.899902,3148.238525,2468285
2023-05-04,3180.149902,3224.449951,3178.000000,3220.699951,3188.632568,1953253
2023-05-05,3220.000000,3244.000000,3210.050049,3230.699951,3198.532959,1710027
2023-05-08,3245.000000,3254.850098,3231.300049,3250.600098,3218.234863,928235
2023-05-09,3252.600098,3298.000000,3246.000000,3283.250000,3250.559570,1107375
2023-05-10,3290.000000,3306.500000,3266.050049,3286.800049,3254.074463,1559987
2023-05-11,3309.000000,3309.699951,3272.000000,3282.149902,3249.470459,1719623
2023-05-12,3279.149902,3290.000000,3260.000000,3274.300049,3241.698730,1027479
2023-05-15,3284.000000,3292.000000,3248.350098,3255.050049,3222.640625,1150390
2023-05-16,3256.199951,3285.000000,3250.449951,3258.149902,3225.709473,986306
2023-05-17,3255.949951,3280.000000,3198.250000,3208.699951,3176.751709,1588815
2023-05-18,3225.949951,3228.949951,3195.000000,3199.850098,3167.989990,1369364
2023-05-19,3210.000000,3234.500000,3203.050049,3222.850098,3190.761230,1152449
2023-05-22,3230.000000,3308.449951,3217.050049,3298.699951,3265.855713,1333243
2023-05-23,3306.000000,3327.949951,3290.100098,3297.050049,3264.222412,1687418
2023-05-24,3276.000000,3317.199951,3276.000000,3303.350098,3270.459717,1016555
2023-05-25,3294.000000,3306.000000,3267.100098,3293.500000,3260.707520,1374917
2023-05-26,3293.500000,3338.649902,3291.000000,3328.899902,3295.754883,1791115
2023-05-29,3360.800049,3372.000000,3312.000000,3320.350098,3287.290283,1210372
2023-05-30,3315.000000,3326.949951,3301.350098,3316.199951,3283.181396,1344224
2023-05-31,3309.000000,3327.699951,3265.149902,3289.500000,3256.747559,5815424
2023-06-01,3314.000000,3340.000000,3297.500000,3324.000000,3290.903809,1177314
2023-06-02,3326.250000,3335.899902,3297.449951,3305.600098,3272.687256,2030661
2023-06-05,3315.000000,3327.000000,3285.050049,3288.899902,3256.153320,1861468
